Topic_0,collabor design environ,aspectori program-commun process-coalit-primari goal-descript techniqu
Topic_1,reduc develop cost,govern-public-pair-countri-checker
Topic_2,machin learn techniqu,approach-propos-techniqu-detect-semant
Topic_3,abstract syntax tree,file-retriev-tree-space-databas
Topic_4,custom relationship manag,trust-parti-consum-offshor-reput
Topic_5,stochast petri net,resourc-server-share-grid-client
Topic_6,case studi organ,view-vagu-impair-median-task manag
Topic_7,finit state machin,state-input-machin-conflict-requir
Topic_8,access control polici,control-constraint-logic-flow-path
Topic_9,partial blind signatur,scheme-partial-variant-flight-collis
Topic_10,reliabl growth model,model-process-compon-reliabl-integr
Topic_11,aspect orient develop,function-vision-tutori-function point-approach requir
Topic_12,suppli chain manag,document-queri-search-content-librari
Topic_13,goal orient requir,risk-clone-manag-embed-mitig
Topic_14,case studi present,scenario-global-distribut-organis-refer
Topic_15,electron medic record,game-health-care-medic-patient
Topic_16,present preliminari result,context motiv-facial-theoriz-design agent-reactiv power
Topic_17,semi structur interview,inform-social-locat-person-site
Topic_18,object orient design,design-methodolog-phase-cycl-life
Topic_19,servic orient architectur,servic-architectur-adapt-compon-dynam
Topic_20,distribut real time,design-distribut-pattern-applic-environ
Topic_21,graphic interfac gui,tool-interfac-interact-graphic-fragment
Topic_22,present case studi,develop-requir-studi-practic-experi
Topic_23,requir busi process,neutral-metamorph-busi case-irregular-structur function
Topic_24,formal specif languag,specif-formal-behaviour-anim-oper
Topic_25,object orient framework,cluster-similar-element-hierarch-micro
Topic_26,wireless sensor network,network-node-wireless-energi-sensor
Topic_27,inform commun technolog,commun-internet-messag-inspect-hybrid
Topic_28,industri case studi,industri-instrument-motiv-case studi-studi
Topic_29,real world case,event-monitor-record-execut-enact
Topic_30,multi agent ma,agent-mobil-topolog-mobil agent-multicast
Topic_31,servic level agreement,infrastructur-contract-version-enterpris-outsourc
Topic_32,test case priorit,select-regress-sampl-toler-priorit
Topic_33,hidden markov model,endus-immun-cooper cscw-hidden markov-hidden markov model
Topic_34,integr develop environ,method-evalu-propos method-environ-develop environ
Topic_35,natur languag process,onlin-social-media-social network-session
Topic_36,fault local techniqu,fault-failur-safeti-critic-local
Topic_37,machin learn algorithm,classif-classifi-page-long-corpor
Topic_38,object orient class,class-metric-attribut-measur-coupl
Topic_39,experiment result propos,perform-estim-measur-result-protocol
Topic_40,project life cycl,dimension-bodi-revis-entri-expans
Topic_41,high level languag,languag-transform-type-abstract-program languag
Topic_42,illustr case studi,behavior-simul-time-virtual-tempor
Topic_43,systemat literatur review,techniqu-visual-mainten-chang-evolut
Topic_44,concurr object orient,concurr-verif-transact-synchron-proof
Topic_45,test suit reduct,test-suit-coverag-criteria-test suit
Topic_46,cross site script,secur-attack-polici-workflow-vulner
Topic_47,support vector machin,algorithm-problem-optim-time-solv
Topic_48,object orient program,object-orient-object orient-aspect-objectori
Topic_49,model driven develop,framework-requir-domain-develop-approach
Topic_50,model driven architectur,high-migrat-perform-level-hardwar
Topic_51,test case gener,test-case-gener-test case-diagram
Topic_52,busi process model,busi-inform-decis-manag-market
Topic_53,product develop process,project-develop-product-process-manag
Topic_54,process model languag,structur-depend-predict-modul-graph
Topic_55,applic program interfac,program-code-java-static-programm
Topic_56,extens markup languag,collabor-coordin-usabl-negoti-support
Topic_57,group support gss,group-learn-team-educ-support
Topic_58,result empir studi,knowledg-studi-qualiti-empir-process
Topic_59,experiment result demonstr,imag-digit-fuzzi-region-block
